マンション全住戸予定価格詳細レポート

1. 本レポートの概要と構成

本レポートは、提供された価格表資料（21〜24ページ相当）に基づき、N敷地（N-1〜N-4棟）およびS敷地（S-1〜S-4棟）における全14階、全住戸の価格情報を網羅的にまとめたものです。不動産情報管理の観点から、全住戸の価格、専有面積、住戸タイプを正確に転記しています。

【重要事項】

* 本資料に記載されている価格は**「現時点での予定価格」**です。
* 最終的な価格表は、設計と詳細部分の整合を確認した上で、7/18-7/19に開催される説明会資料にて確定されます。必ず最新の説明会資料をご確認ください。
* 各住戸の間取りや間数は、住戸選定説明会資料にて提示されます。
* 本計画は行政協議・施工・計画等により変更となる場合があります。

2. S敷地（南敷地）住戸詳細一覧表

S敷地（南敷地）の住戸は、S-1棟からS-4棟まで全棟「南向き」の配置となっています。

S-1棟（南向き）

階	住戸番号	住戸タイプ	専有面積 (㎡)	予定価格 (万円)
3階	N1-4-306	N1-4	69.60	4,860
3階	N1-5-307	N1-5	64.72	4,430
3階	N1-6-308	N1-6	64.72	4,360
2階	N1-1-201	N1-1	84.22	6,170
2階	N1-2A-202	N1-2A	35.96	1,850
2階	N1-2B-203	N1-2B	35.96	1,850
2階	N1-3A-204	N1-3A	35.96	1,850
2階	N1-3B-205	N1-3B	35.96	1,850
2階	N1-4-206	N1-4	69.60	4,830
2階	N1-5-207	N1-5	64.72	4,400
2階	N1-6-208	N1-6	64.72	4,330
1階	N1-1g-101	N1-1g	84.22	6,200
1階	N1-2At-102	N1-2At	35.96	1,820
1階	N1-2Bt-103	N1-2Bt	35.96	1,820
1階	N1-3At-104	N1-3At	35.96	1,770
1階	N1-3Bt-105	N1-3Bt	35.96	1,770
1階	N1-4g-106	N1-4g	69.60	4,870
1階	N1-5g-107	N1-5g	64.72	4,400
1階	-	玄関	-	サブエントランス

N-2棟（西向き）

階	住戸番号	住戸タイプ	専有面積 (㎡)	予定価格 (万円)
14階	N2-1-1401	N2-1	64.72	4,850
13階	N2-1-1301	N2-1	64.72	4,800
12階	N2-1-1201	N2-1	64.72	4,620
11階	N2-1-1101	N2-1	64.72	4,600
10階	N2-1-1001	N2-1	64.72	4,570
9階	N2-1-901	N2-1	64.72	4,540
8階	N2-1-801	N2-1	64.72	4,510
7階	N2-1-701	N2-1	64.72	4,480
6階	N2-1-601	N2-1	64.72	4,450
5階	N2-1-501	N2-1	64.72	4,420
4階	N2-1-401	N2-1	64.72	4,390
3階	N2-1-301	N2-1	64.72	4,360
2階	N2-1-201	N2-1	64.72	4,330
1階	N2-1g-101	N2-1g	64.72	4,400

N-3棟（東向き）

階	住戸番号	住戸タイプ	専有面積 (㎡)	予定価格 (万円)
14階	N3-1-1425	N3-1	64.72	4,800
13階	N3-1-1325	N3-1	64.72	4,650
12階	N3-1-1225	N3-1	64.72	4,620
11階	N3-1-1125	N3-1	64.72	4,600
10階	N3-1-1025	N3-1	64.72	4,570
9階	N3-1-925	N3-1	64.72	4,540
8階	N3-1-825	N3-1	64.72	4,510
7階	N3-1-725	N3-1	64.72	4,480
6階	N3-1-625	N3-1	64.72	4,450
5階	N3-1-525	N3-1	64.72	4,420
4階	N3-1-425	N3-1	64.72	4,390
3階	N3-1-325	N3-1	64.72	4,360
2階	N3-1-225	N3-1	64.72	4,330
1階	-	共用	-	共用部

N-4棟（東向き）

階	住戸番号	住戸タイプ	専有面積 (㎡)	予定価格 (万円)
14階	N4-1-1425	N4-1	64.72	4,800
14階	N4-2-1426	N4-2	64.72	4,850
14階	N4-3-1427	N4-3	54.25	4,150
14階	N4-4-1428	N4-4	54.25	4,150
14階	N4-5-1429	N4-5	54.25	4,150
14階	N4-6-1430	N4-6	71.92	5,500
14階	N4-7w-1431	N4-7w	80.62	6,560
13階	N4-1-1325	N4-1	64.72	4,650
13階	N4-2-1326	N4-2	64.72	4,800
13階	N4-3-1327	N4-3	54.25	4,110
13階	N4-4-1328	N4-4	54.25	4,110
13階	N4-5-1329	N4-5	54.25	4,110
13階	N4-6-1330	N4-6	71.92	5,450
13階	N4-7r-1331	N4-7r	80.62	6,600
12階	N4-1-1225	N4-1	64.72	4,620
12階	N4-2-1226	N4-2	64.72	4,670
12階	N4-3-1227	N4-3	54.25	4,090
12階	N4-4-1228	N4-4	54.25	4,090
12階	N4-5-1229	N4-5	54.25	4,090
12階	N4-6-1230	N4-6	71.92	5,420
12階	N4-7-1231	N4-7	74.24	5,740
12階	N4-8-1232	N4-8	84.22	6,600
11階	N4-1-1125	N4-1	64.72	4,600
11階	N4-2-1126	N4-2	64.72	4,650
11階	N4-3-1127	N4-3	54.25	4,010
11階	N4-4-1128	N4-4	54.25	4,060
11階	N4-5-1129	N4-5	54.25	4,060
11階	N4-6-1130	N4-6	71.92	5,380
11階	N4-7-1131	N4-7	74.24	5,710
11階	N4-8-1132	N4-8	84.22	6,560
10階	N4-1-1025	N4-1	64.72	4,570
10階	N4-2-1026	N4-2	64.72	4,620
10階	N4-3-1027	N4-3	54.25	3,990
10階	N4-4-1028	N4-4	54.25	3,990
10階	N4-5-1029	N4-5	54.25	4,040
10階	N4-6-1030	N4-6	71.92	5,350
10階	N4-7-1031	N4-7	74.24	5,670
10階	N4-8-1032	N4-8	84.22	6,520
9階	N4-1-925	N4-1	64.72	4,540
9階	N4-2-926	N4-2	64.72	4,590
9階	N4-3-927	N4-3	54.25	3,960
9階	N4-4-928	N4-4	54.25	3,960
9階	N4-5-929	N4-5	54.25	3,960
9階	N4-6-930	N4-6	71.92	5,320
9階	N4-7-931	N4-7	74.24	5,640
9階	N4-8-932	N4-8	84.22	6,480
8階	N4-1-825	N4-1	64.72	4,510
8階	N4-2-826	N4-2	64.72	4,510
8階	N4-3-827	N4-3	54.25	3,890
8階	N4-4-828	N4-4	54.25	3,940
8階	N4-5-829	N4-5	54.25	3,940
8階	N4-6-830	N4-6	71.92	5,240
8階	N4-7-831	N4-7	74.24	5,610
8階	N4-8-832	N4-8	84.22	6,450
7階	N4-1-725	N4-1	64.72	4,480
7階	N4-2-726	N4-2	64.72	4,480
7階	N4-3-727	N4-3	54.25	3,860
7階	N4-4-728	N4-4	54.25	3,910
7階	N4-5-729	N4-5	54.25	3,910
7階	N4-6-730	N4-6	71.92	5,200
7階	N4-7-731	N4-7	74.24	5,570
7階	N4-8-732	N4-8	84.22	6,410
6階	N4-1-625	N4-1	64.72	4,450
6階	N4-2-626	N4-2	64.72	4,450
6階	N4-3-627	N4-3	54.25	3,840
6階	N4-4-628	N4-4	54.25	3,840
6階	N4-5-629	N4-5	54.25	3,890
6階	N4-6-630	N4-6	71.92	5,170
6階	N4-7-631	N4-7	74.24	5,540
6階	N4-8-632	N4-8	84.22	6,370
5階	N4-1-525	N4-1	64.72	4,420
5階	N4-2-526	N4-2	64.72	4,420
5階	N4-3-527	N4-3	54.25	3,810
5階	N4-4-528	N4-4	54.25	3,810
5階	N4-5-529	N4-5	54.25	3,860
5階	N4-6-530	N4-6	71.92	5,140
5階	N4-7-531	N4-7	74.24	5,460
5階	N4-8-532	N4-8	84.22	6,330
4階	N4-1-425	N4-1	64.72	4,390
4階	N4-2-426	N4-2	64.72	4,390
4階	N4-3-427	N4-3	54.25	3,740
4階	N4-4-428	N4-4	54.25	3,790
4階	N4-5-429	N4-5	54.25	3,790
4階	N4-6-430	N4-6	71.92	5,110
4階	N4-7-431	N4-7	74.24	5,420
4階	N4-8-432	N4-8	84.22	6,290
3階	N4-1-325	N4-1	64.72	4,360
3階	N4-2-326	N4-2	64.72	4,360
3階	N4-3-327	N4-3	54.25	3,710
3階	N4-4-328	N4-4	54.25	3,760
3階	N4-5-329	N4-5	54.25	3,760
3階	N4-6-330	N4-6	71.92	5,040
3階	N4-7-331	N4-7	74.24	5,390
3階	N4-8-332	N4-8	84.22	6,200
2階	N4-1-225	N4-1	64.72	4,330
2階	N4-2-226	N4-2	64.72	4,280
2階	N4-3-227	N4-3	54.25	3,690
2階	N4-4-228	N4-4	54.25	3,740
2階	N4-5-229	N4-5	54.25	3,740
2階	N4-6-230	N4-6	71.92	4,990
2階	N4-7-231	N4-7	74.24	5,360
2階	N4-8-232	N4-8	84.22	6,170
1階	-	共用	-	共用部
1階	-	共用	-	共用部
1階	N4-3g-127	N4-3g	54.25	3,650
1階	N4-4g-128	N4-4g	54.25	3,750
1階	N4-5g-129	N4-5g	54.25	3,800
1階	N4-6g-130	N4-6g	71.92	5,040
1階	N4-7g-131	N4-7g	74.24	5,350
1階	N4-8g-132	N4-8g	71.98	5,320

4. 凡例および補足事項

住戸情報の配置ルール（凡例）

本レポートの各テーブルセルは、以下の配置ルールに従って記載されています。

1. 住戸番号: 棟番号、ユニット番号、階、枝番から構成される固有番号。
2. 住戸タイプ: ユニットの形式呼称。「g」は専用庭付、「r」はルーフバルコニー付、「w」は特定の大型バルコニー付、「t」はテラス付を指します。
3. 専有面積: 壁芯計算による専有面積（㎡）。
4. 予定価格: 万円単位の販売予定価格。

面積帯による背景色の分類（カラーチャート）

資料内では、専有面積ごとに以下のカラーコードで分類されています。

* 35㎡台: 白色
* 40㎡台: ピンク色
* 50㎡台: 黄色
* 60㎡台: 紫色
* 70㎡台: 水色
* 80㎡台: 緑色
* 共用部: 灰色（エントランス、管理室、ラウンジ等）

敷地内の配置に関する特記事項

* N敷地（北敷地）: N-1、N-2棟が西向き、N-3、N-4棟が東向きに配置されています。敷地北側は「すずかけ公園」に隣接し、サブエントランスが設けられています。
* S敷地（南敷地）: S-1棟からS-4棟までが並列し、すべて南向きの配棟です。敷地内には110台および106台収容の駐車場が完備されています。
